level,category_id,category_name,parent_id,parent_name,variable_count,path
2,dc/g/Person_InternetUsageLocation,Person by Internet Usage Location,dc/g/Demographics,Demographics,406,Root > Demographics > Person by Internet Usage Location
2,dc/g/Person_IsInternetUser,Person by Is Internet User,dc/g/Demographics,Demographics,407,Root > Demographics > Person by Is Internet User
2,dc/g/Person_LaborForceStatus,Person by Labor Force Status,dc/g/Demographics,Demographics,4561,Root > Demographics > Person by Labor Force Status
2,dc/g/Language,Language,dc/g/Demographics,Demographics,511,Root > Demographics > Language
2,dc/g/Person_LiteracyStatus,Person by Literacy Status,dc/g/Demographics,Demographics,305,Root > Demographics > Person by Literacy Status
2,dc/g/Person_MaritalStatus,Person by Marital Status,dc/g/Demographics,Demographics,2481,Root > Demographics > Person by Marital Status
2,dc/g/MaternalMortalityEvent,Maternal Mortality Event,dc/g/Demographics,Demographics,3,Root > Demographics > Maternal Mortality Event
2,dc/g/Person_MemberStatus,Person by Member Status,dc/g/Demographics,Demographics,96,Root > Demographics > Person by Member Status
2,dc/g/MilitaryService,Military Service,dc/g/Demographics,Demographics,2403,Root > Demographics > Military Service
2,dc/g/Demographics_Miscellaneous,Miscellaneous,dc/g/Demographics,Demographics,1546,Root > Demographics > Miscellaneous
2,dc/g/Mother,Mother,dc/g/Demographics,Demographics,37,Root > Demographics > Mother
2,dc/g/MunicipalWard,Municipal Ward,dc/g/Demographics,Demographics,3,Root > Demographics > Municipal Ward
2,dc/g/NonPregnantWoman,Non Pregnant Woman,dc/g/Demographics,Demographics,6,Root > Demographics > Non Pregnant Woman
2,dc/g/Person_NumberOfVehiclesInHousehold,Person by Number of Vehicles in Household,dc/g/Demographics,Demographics,24,Root > Demographics > Person by Number of Vehicles in Household
2,dc/g/Place_PlaceType,Place by Place Type,dc/g/Demographics,Demographics,2,Root > Demographics > Place by Place Type
2,dc/g/Person_PlaceOfBirth,Person by Place of Birth,dc/g/Demographics,Demographics,1958,Root > Demographics > Person by Place of Birth
2,dc/g/Person_PlaceOfResidenceClassification,Person by Place of Residence Classification,dc/g/Demographics,Demographics,4330,Root > Demographics > Person by Place of Residence Classification
2,dc/g/Place_PlaceOfResidenceClassification,Place by Place of Residence Classification,dc/g/Demographics,Demographics,4,Root > Demographics > Place by Place of Residence Classification
2,dc/g/Person_PovertyStatus,Person by Poverty Status,dc/g/Demographics,Demographics,1096,Root > Demographics > Person by Poverty Status
2,dc/g/Person_Race,Person by Race,dc/g/Demographics,Demographics,21891,Root > Demographics > Person by Race
2,dc/g/Person_Religion,Person by Religion,dc/g/Demographics,Demographics,2050,Root > Demographics > Person by Religion
2,dc/g/Residence,Residence,dc/g/Demographics,Demographics,6066,Root > Demographics > Residence
2,dc/g/Person_ResidentStatus,Person by Resident Status,dc/g/Demographics,Demographics,808,Root > Demographics > Person by Resident Status
2,dc/g/Place_SocialCondition,Place by Social Condition,dc/g/Demographics,Demographics,2,Root > Demographics > Place by Social Condition
2,dc/g/Vehicle,Vehicle,dc/g/Demographics,Demographics,5,Root > Demographics > Vehicle
2,dc/g/VehicleCrashIncident,Vehicle Crash Incident,dc/g/Demographics,Demographics,94,Root > Demographics > Vehicle Crash Incident
2,dc/g/Person_VehicleOccupantType,Person by Vehicle Occupant Type,dc/g/Demographics,Demographics,4,Root > Demographics > Person by Vehicle Occupant Type
2,dc/g/Village,Village,dc/g/Demographics,Demographics,2,Root > Demographics > Village
2,dc/g/Person_VulnerabilityStatus,Person by Vulnerability Status,dc/g/Demographics,Demographics,4,Root > Demographics > Person by Vulnerability Status
1,dc/g/Economy,Economy,dc/g/Root,Data Commons Variables,122095,Root > Economy
2,dc/g/Employment,Employment and Business,dc/g/Economy,Economy,66646,Root > Economy > Employment and Business
2,dc/g/Person_Age,Person by Age,dc/g/Economy,Economy,30498,Root > Economy > Person by Age
2,dc/g/Amount,Amount,dc/g/Economy,Economy,4,Root > Economy > Amount
2,dc/g/Person_AssessmentType,Person by Assessment Type,dc/g/Economy,Economy,9,Root > Economy > Person by Assessment Type
2,dc/g/Person_AssetsOwned,Person by Assets Owned,dc/g/Economy,Economy,6,Root > Economy > Person by Assets Owned
2,dc/g/Person_BankAccountType,Person by Bank Account Type,dc/g/Economy,Economy,3,Root > Economy > Person by Bank Account Type
2,dc/g/Person_CandidatesStatus,Person by Candidates Status,dc/g/Economy,Economy,3,Root > Economy > Person by Candidates Status
2,dc/g/Commodity,Commodity,dc/g/Economy,Economy,173,Root > Economy > Commodity
2,dc/g/ConsumerGoodsAndServices,Consumer Goods And Services,dc/g/Economy,Economy,2878,Root > Economy > Consumer Goods And Services
2,dc/g/Currency,Currency,dc/g/Economy,Economy,447,Root > Economy > Currency
2,dc/g/Debt,Debt,dc/g/Economy,Economy,6252,Root > Economy > Debt
2,dc/g/EconomicActivity,Economic Activity,dc/g/Economy,Economy,31721,Root > Economy > Economic Activity
2,dc/g/Person_EconomicActivitySource,Person by Economic Activity Source,dc/g/Economy,Economy,94,Root > Economy > Person by Economic Activity Source
