"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1982","[P1Y]","9","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryLBR","[]"
"[USDollar]","[]","1999","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderDevBankoftheCentralAfricanStates","[]"
"[USDollar]","[]","1981","[P1Y]","9","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHND","[, WorldBankProjection]"
"[USDollar]","[]","1975","[P1Y]","20","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryNZL","[]"
"[USDollar]","[]","1975","[P1Y]","93","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySAU","[, WorldBankProjection]"
"[USDollar]","[]","1995","[P1Y]","7","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryBRN","[]"
"[USDollar]","[]","1970","[P1Y]","66","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryESP","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","95","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySAU","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","114","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryJPN","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","44","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryZAF","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","111","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryJPN","[, WorldBankProjection]"
"[USDollar]","[]","1989","[P1Y]","7","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEconCommoftheGreatLakesCountries","[]"
"[USDollar]","[]","1978","[P1Y]","12","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryCOL","[]"
"[USDollar]","[]","1970","[P1Y]","75","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryESP","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","56","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryBRA","[, WorldBankProjection]"
"[USDollar]","[]","1980","[P1Y]","6","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryPER","[]"
"[USDollar]","[]","1978","[P1Y]","12","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryBRB","[, WorldBankProjection]"
"[USDollar]","[]","1977","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderInternationalCoffeeOrganization","[]"
"[USDollar]","[]","1973","[P1Y]","8","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryCOD","[]"
